flight_number,departure_time,arrival_airport,arrival_time,aircraft_type,terminal,gate,status
EK 2482,2026-02-20 00:10+04:00,ASB,2026-02-20 00:41+04:00,Boeing 737,,F12,Departed
EK 801,2026-02-20 00:15+04:00,JED,2026-02-20 00:59+04:00,Airbus A380-800,3,B13,Departed
EK 2330,2026-02-20 00:20+04:00,DAC,2026-02-20 00:38+04:00,Boeing 737,,F10,Departed
EK 2312,2026-02-20 00:25+04:00,KZN,2026-02-20 00:39+04:00,Boeing 737-800,,F5,Departed
EK 2187,2026-02-20 00:25+04:00,ZNZ,2026-02-20 01:02+04:00,Boeing 737-800,,B4,Departed
EK 2144,2026-02-20 01:10+04:00,VKO,2026-02-20 01:29+04:00,Boeing 737-800,,F6,Departed
EK 2202,2026-02-20 01:10+04:00,TBS,2026-02-20 01:33+04:00,Boeing 737,,F10,Departed
EK 807,2026-02-20 01:15+04:00,MED,2026-02-20 01:39+04:00,Boeing 777-300ER,3,B22,Departed
EK 815,2026-02-20 01:25+04:00,RUH,2026-02-20 01:36+04:00,Boeing 777-300ER,3,B23,Departed
EK 853,2026-02-20 01:25+04:00,KWI,2026-02-20 01:40+04:00,Airbus A350-900,3,A19a,Departed
EK 2248,2026-02-20 01:30+04:00,MLE,2026-02-20 02:01+04:00,Boeing 737,,B3,Departed
EK 2359,2026-02-20 01:40+04:00,KBV,2026-02-20 02:15+04:00,Boeing 737,,B4,Departed
EK 2208,2026-02-20 01:55+04:00,PRG,2026-02-20 01:55+04:00,Boeing 737,,B4,Boarding
EK 7435,2026-02-20 01:55+04:00,CAN,2026-02-20 01:57+04:00,Airbus A330-300,,D16,Departed
EK 582,2026-02-20 01:55+04:00,DAC,2026-02-20 02:17+04:00,Boeing 777-300ER,3,A2,Departed
EK 440,2026-02-20 02:00+04:00,ADL,2026-02-20 02:12+04:00,Airbus A350-900,3,A10,Departed
EK 414,2026-02-20 02:00+04:00,SYD,2026-02-20 02:24+04:00,Airbus A380-800,3,A3,Departed
EK 2454,2026-02-20 02:00+04:00,CMB,2026-02-20 02:31+04:00,Boeing 737,,B1,Departed
EK 570,2026-02-20 02:00+04:00,CCU,2026-02-20 02:33+04:00,Boeing 777-300ER,3,A9,Departed
EK 165,2026-02-20 02:10+04:00,DUB,2026-02-20 02:21+04:00,Boeing 777-300ER,3,B31,Departed
EK 835,2026-02-20 02:10+04:00,BAH,2026-02-20 02:29+04:00,Airbus A350-900,3,A19,Departed
EK 2030,2026-02-20 02:15+04:00,CMB,2026-02-20 02:40+04:00,Boeing 737-800,,F7,Departed
EK 213,2026-02-20 02:15+04:00,MIA,2026-02-20 02:48+04:00,Boeing 777-300ER,3,B11,Departed
EK 823,2026-02-20 02:20+04:00,DMM,2026-02-20 02:39+04:00,Boeing 777-300ER,3,A18,Departed
EK 231,2026-02-20 02:25+04:00,IAD,2026-02-20 02:49+04:00,Airbus A380-800,3,B19,Departed
EK 701,2026-02-20 02:25+04:00,MRU,2026-02-20 02:55+04:00,Airbus A380-800,3,B21,Departed
EK 656,2026-02-20 02:30+04:00,MLE,2026-02-20 02:45+04:00,Boeing 777-300ER,3,C14,Departed
EK 348,2026-02-20 02:30+04:00,SIN,2026-02-20 02:59+04:00,Boeing 777-300ER,3,B6,Departed
EK 2052,2026-02-20 02:30+04:00,ZNZ,2026-02-20 03:04+04:00,Boeing 737,,B2,Departed
EK 203,2026-02-20 02:35+04:00,JFK,2026-02-20 02:56+04:00,Airbus A380-800,3,A12,Departed
EK 650,2026-02-20 02:35+04:00,CMB,2026-02-20 03:09+04:00,Boeing 777-300ER,3,C6,Departed
EK 2262,2026-02-20 02:35+04:00,KTM,2026-02-20 03:29+04:00,Boeing 737,,B5,Departed
EK 866,2026-02-20 02:40+04:00,MCT,2026-02-20 03:00+04:00,Airbus A350-900,3,A6,Departed
EK 705,2026-02-20 02:40+04:00,SEZ,2026-02-20 03:02+04:00,Boeing 777-300ER,3,B10,Departed
EK 221,2026-02-20 02:40+04:00,DFW,2026-02-20 03:08+04:00,Boeing 777-300ER,3,B26,Departed
EK 21,2026-02-20 02:40+04:00,MAN,2026-02-20 03:16+04:00,Airbus A380-800,3,A13,Departed
EK 530,2026-02-20 02:45+04:00,COK,2026-02-20 03:13+04:00,Boeing 777-200LR,3,B9,Departed
EK 243,2026-02-20 02:45+04:00,YUL,2026-02-20 03:15+04:00,Airbus A350-900,3,B12,Departed
EK 420,2026-02-20 02:45+04:00,PER,2026-02-20 03:31+04:00,Airbus A380-800,3,B20,Departed
EK 544,2026-02-20 02:50+04:00,MAA,2026-02-20 03:10+04:00,Boeing 777-300ER,3,B8,Departed
EK 11,2026-02-20 02:50+04:00,LGW,2026-02-20 03:11+04:00,Boeing 777-300ER,3,B30,Departed
EK 338,2026-02-20 02:50+04:00,CEB,2026-02-20 03:12+04:00,Boeing 777-300ER,3,C5,Departed
EK 430,2026-02-20 02:50+04:00,BNE,2026-02-20 03:35+04:00,Boeing 777-300ER,3,A22,Departed
EK 384,2026-02-20 02:55+04:00,BKK,2026-02-20 03:18+04:00,Airbus A380-800,3,B29,Departed
EK 318,2026-02-20 02:55+04:00,NRT,2026-02-20 03:26+04:00,Airbus A380-800,3,C18,Departed
EK 2464,2026-02-20 03:00+04:00,RUH,2026-02-20 03:20+04:00,Boeing 737,,F8,Departed
EK 378,2026-02-20 03:00+04:00,HKT,2026-02-20 03:21+04:00,Boeing 777-300ER,3,C1,Departed
EK 408,2026-02-20 03:00+04:00,MEL,2026-02-20 03:24+04:00,Airbus A380-800,3,A16,Departed
EK 219,2026-02-20 03:05+04:00,MCO,2026-02-20 03:33+04:00,Boeing 777-300ER,3,B18,Departed
EK 316,2026-02-20 03:05+04:00,KIX,2026-02-20 03:52+04:00,Airbus A380-800,3,B32,Departed
EK 302,2026-02-20 03:10+04:00,PVG,2026-02-20 03:37+04:00,Airbus A380-800,3,A21,Departed
EK 7,2026-02-20 03:10+04:00,LHR,2026-02-20 03:50+04:00,Airbus A380-800,3,A11,Departed
EK 612,2026-02-20 03:10+04:00,ISB,2026-02-20 04:00+04:00,Boeing 777-300ER,3,A7,Departed
EK 354,2026-02-20 03:15+04:00,SIN,2026-02-20 03:40+04:00,Airbus A380-800,3,C21,Departed
EK 145,2026-02-20 03:15+04:00,AMS,2026-02-20 04:01+04:00,Boeing 777-300ER,3,B25,Departed
EK 306,2026-02-20 03:20+04:00,PEK,2026-02-20 03:46+04:00,Boeing 777-300ER,3,A5,Departed
EK 43,2026-02-20 03:20+04:00,FRA,2026-02-20 03:59+04:00,Boeing 777-300ER,3,A1,Departed
EK 71,2026-02-20 03:20+04:00,CDG,2026-02-20 04:04+04:00,Airbus A380-800,3,C23,Departed
EK 368,2026-02-20 03:25+04:00,DPS,2026-02-20 03:47+04:00,Boeing 777-300ER,3,C3,Departed
EK 129,2026-02-20 03:30+04:00,DME,2026-02-20 03:49+04:00,Boeing 777-300ER,3,C10,Departed
EK 526,2026-02-20 03:30+04:00,HYD,2026-02-20 03:58+04:00,Boeing 777-300ER,3,C2,Departed
EK 2159,2026-02-20 03:30+04:00,OTP,2026-02-20 04:11+04:00,Boeing 737,,B3,Departed
EK 322,2026-02-20 03:30+04:00,ICN,2026-02-20 04:12+04:00,Airbus A380-800,3,B17,Departed
EK 241,2026-02-20 03:30+04:00,YYZ,2026-02-20 04:14+04:00,Airbus A380-800,3,A4,Departed
EK 382,2026-02-20 03:30+04:00,HKG,2026-02-20 04:16+04:00,Boeing 777-300ER,3,C19,Departed
EK 394,2026-02-20 03:40+04:00,HAN,2026-02-20 04:06+04:00,Boeing 777-300ER,3,B24,Departed
EK 332,2026-02-20 03:40+04:00,MNL,2026-02-20 04:09+04:00,Boeing 777-300ER,3,C16,Departed
EK 346,2026-02-20 03:40+04:00,KUL,2026-02-20 04:22+04:00,Boeing 777-300ER,3,C8,Departed
EK 366,2026-02-20 03:40+04:00,TPE,2026-02-20 04:23+04:00,Airbus A380-800,3,B15,Departed
EK 564,2026-02-20 03:40+04:00,BLR,2026-02-20 04:27+04:00,Boeing 777-300ER,3,C22,Departed
EK 255,2026-02-20 03:45+04:00,BCN,2026-02-20 04:31+04:00,Boeing 777-200LR,3,C12a,Departed
EK 772,2026-02-20 03:50+04:00,CPT,2026-02-20 04:08+04:00,Boeing 777-300ER,3,A17,Departed
EK 376,2026-02-20 03:50+04:00,BKK,2026-02-20 04:25+04:00,Airbus A380-800,3,A15,Departed
EK 504,2026-02-20 03:55+04:00,BOM,2026-02-20 04:39+04:00,Boeing 777-300ER,3,C13,Departed
EK 929,2026-02-20 04:00+04:00,CAI,2026-02-20 04:32+04:00,Boeing 777-200LR,3,B23,Departed
EK 364,2026-02-20 04:00+04:00,SGN,2026-02-20 04:35+04:00,Airbus A350-900,3,A8,Departed
EK 624,2026-02-20 04:10+04:00,LHE,2026-02-20 04:34+04:00,Boeing 777-300ER,3,C7,Departed
EK 761,2026-02-20 04:10+04:00,JNB,2026-02-20 04:40+04:00,Boeing 777-300ER,3,C17,Departed
EK 2258,2026-02-20 04:10+04:00,JED,2026-02-20 04:42+04:00,Boeing 737,,F7,Departed
EK 2389,2026-02-20 04:10+04:00,LGK,2026-02-20 04:44+04:00,Boeing 737,,B1,Departed
EK 310,2026-02-20 04:15+04:00,HGH,2026-02-20 05:05+04:00,Airbus A350-900,3,A9,Departed
EK 658,2026-02-20 04:20+04:00,MLE,2026-02-20 04:46+04:00,Boeing 777-300ER,3,B22,Departed
EK 510,2026-02-20 04:20+04:00,DEL,2026-02-20 04:53+04:00,Boeing 777-300ER,3,C4,Departed
EK 101,2026-02-20 04:20+04:00,MXP,2026-02-20 04:56+04:00,Boeing 777-300ER,3,B27,Departed
EK 356,2026-02-20 04:25+04:00,CGK,2026-02-20 04:54+04:00,Boeing 777-300ER,3,C12,Departed
EK 2458,2026-02-20 04:30+04:00,KBL,2026-02-20 04:50+04:00,Boeing 737,,F12,Departed
EK 324,2026-02-20 04:45+04:00,ICN,2026-02-20 05:15+04:00,Boeing 777-300ER,3,A2,Departed
EK 2157,2026-02-20 04:45+04:00,WAW,2026-02-20 05:18+04:00,Boeing 737,,B2,Departed
EK 2332,2026-02-20 05:25+04:00,TLV,2026-02-20 05:48+04:00,Boeing 737,,C15a,Departed
EK 2169,2026-02-20 05:35+04:00,EBB,2026-02-20 05:51+04:00,Boeing 737-800,,F6,Departed
EK 2110,2026-02-20 06:00+04:00,KHI,2026-02-20 06:11+04:00,Boeing 737,,F7,Departed
EK 2120,2026-02-20 06:15+04:00,TLV,2026-02-20 08:39+04:00,Boeing 737,,C15a,Departed
EK 2042,2026-02-20 06:20+04:00,KWI,2026-02-20 06:36+04:00,Boeing 737,,F9,Departed
EK 2118,2026-02-20 06:45+04:00,UET,2026-02-20 07:00+04:00,Boeing 737,,F12,Departed
EK 2206,2026-02-20 06:55+04:00,EVN,2026-02-20 07:34+04:00,Boeing 737-800,,F6,Departed
EK 819,2026-02-20 07:00+04:00,RUH,2026-02-20 07:16+04:00,Boeing 777-300ER,3,A13,Departed
EK 2373,2026-02-20 07:00+04:00,IKA,2026-02-20 07:24+04:00,Boeing 737,,B2,Departed
EK 161,2026-02-20 07:05+04:00,DUB,2026-02-20 07:28+04:00,Boeing 777-300ER,3,A5,Departed
EK 805,2026-02-20 07:05+04:00,JED,2026-02-20 07:29+04:00,Airbus A380-800,3,A15,Departed
EK 2034,2026-02-20 07:10+04:00,MCT,2026-02-20 07:42+04:00,Boeing 737,,F8,Departed
EK 17,2026-02-20 07:10+04:00,MAN,2026-02-20 07:52+04:00,Airbus A380-800,3,A3,Departed
EK 2016,2026-02-20 07:15+04:00,BAH,2026-02-20 07:26+04:00,Boeing 737,,F10,Departed
EK 2460,2026-02-20 07:15+04:00,DMM,2026-02-20 07:33+04:00,Boeing 737-800,,F3,Departed
EK 2076,2026-02-20 07:15+04:00,NJF,2026-02-20 07:35+04:00,Boeing 737,,F7,Departed
EK 2369,2026-02-20 07:15+04:00,TLV,2026-02-20 07:56+04:00,Boeing 737,,C15a,Departed
EK 27,2026-02-20 07:20+04:00,GLA,2026-02-20 07:43+04:00,Airbus A380-800,3,A21,Departed
EK 751,2026-02-20 07:25+04:00,CMN,2026-02-20 07:45+04:00,Airbus A380-800,3,B13,Departed
EK 2391,2026-02-20 07:25+04:00,NAP,2026-02-20 07:48+04:00,Boeing 737,,B5,Departed
EK 35,2026-02-20 07:25+04:00,NCL,2026-02-20 07:49+04:00,Boeing 777-300ER,3,B32,Departed
EK 191,2026-02-20 07:25+04:00,LIS,2026-02-20 07:51+04:00,Boeing 777-300ER,3,B10,Departed
EK 141,2026-02-20 07:25+04:00,MAD,2026-02-20 07:53+04:00,Airbus A380-800,3,A16,Departed
EK 787,2026-02-20 07:25+04:00,ACC,2026-02-20 08:19+04:00,Boeing 777-300ER,3,B30,Departed
EK 2058,2026-02-20 07:30+04:00,AMM,2026-02-20 07:39+04:00,Boeing 737,,F9,Departed
EK 2429,2026-02-20 07:30+04:00,LYP,2026-02-20 07:47+04:00,Boeing 737,,F6,Departed
EK 2140,2026-02-20 07:30+04:00,BGY,2026-02-20 07:59+04:00,Boeing 737,,C12a,Departed
EK 600,2026-02-20 07:30+04:00,KHI,2026-02-20 08:00+04:00,Boeing 777-300ER,3,B18,Departed
EK 109,2026-02-20 07:35+04:00,LCA,2026-02-20 08:01+04:00,Boeing 777-300ER,3,B9,Departed
EK 159,2026-02-20 07:35+04:00,OSL,2026-02-20 08:02+04:00,Airbus A350-900,3,B24,Departed
EK 2433,2026-02-20 07:35+04:00,KRK,2026-02-20 08:07+04:00,Boeing 737,,B3,Departed
EK 39,2026-02-20 07:40+04:00,BHX,2026-02-20 08:03+04:00,Airbus A380-800,3,A24,Departed
EK 2185,2026-02-20 07:40+04:00,CTA,2026-02-20 08:06+04:00,Boeing 737,,B2,Departed
EK 855,2026-02-20 07:40+04:00,KWI,2026-02-20 08:08+04:00,Boeing 777-300ER,3,B4,Departed
EK 15,2026-02-20 07:40+04:00,LGW,2026-02-20 08:10+04:00,Airbus A380-800,3,B31,Departed
